"Timestamp","What is your age range?","Gender","Country of residence","Main occupation","Approximate monthly income (after taxes)","Have you interacted (purchase, website, social media) with Gucci, Dior, or Louis Vuitton in the last 12 months?","How often have you purchased products from any of these brands in the last 12 months?","Have you purchased online (website/app) from these brands in the last 12 months?","Which brand attracts you the most currently?","I frequently consume luxury brand content on social media.","I actively interact (likes, comments, shares, saves) with luxury brand content.","I follow influencers or accounts that talk about these brands.","Digital content from these brands generates excitement or interest in me.","The online experience of these brands is consistent with their physical store experience.","The digital experience (website, app, social media) feels premium and exclusive.","Personalized recommendations (emails, suggestions, tailored content) feel useful to me.","Digital innovation (e.g., AR, virtual experiences, online personalization) increases my interest in these brands.","I feel emotionally connected to at least one of these brands.","These brands make me feel unique or part of an exclusive group.","I prefer these brands over similar ones, even if they cost more.","I would recommend these brands to friends or family.","What is your intention to purchase again from these brands in the next 12 months?","If these brands improve their digital presence, my loyalty would increase.","My digital interactions with these brands strengthen my loyalty."
"2026/02/13 5:18:54 pm CET","18-24","Female","Spain","Student","<1,500€","No","Never","No, but I would consider it","Gucci","4","1","5","4","2","1","3","3","3","3","3","4","4","3","3"
"2026/02/13 5:20:42 pm CET","18-24","Female","Spain","Student","I'm still a student","Yes","Never","No and I would not consider it","None / I switch frequently","1","2","2","2","4","4","5","5","1","1","1","1","1","1","1"
"2026/02/13 5:22:03 pm CET","18-24","Female","madrid","Student","I'm still a student","No","Never","No and I would not consider it","None / I switch frequently","5","5","4","5","5","3","3","3","5","5","1","2","1","4","2"
"2026/02/13 5:24:12 pm CET","18-24","Male","Spain ","Student","I'm still a student","No","Never","No and I would not consider it","Louis Vuitton","4","3","2","3","2","2","4","5","2","4","4","5","3","4","4"
"2026/02/13 5:26:19 pm CET","18-24","Female","spain","Student","I'm still a student","Yes","Once","No, but I would consider it","Dior","4","3","5","4","2","2","2","2","3","4","2","3","3","4","3"
"2026/02/13 5:28:37 pm CET","18-24","Female","Spain","Student","<1,500€","No","Never","No, but I would consider it","Louis Vuitton","1","1","2","1","2","2","4","4","1","1","1","1","1","2","2"
"2026/02/13 5:28:41 pm CET","18-24","Female","UK","Junior professional","2,501–4,000€","No","Never","No, but I would consider it","Dior","1","1","3","3","3","3","3","4","1","4","2","3","1","3","3"
"2026/02/13 5:28:55 pm CET","18-24","Female","Spain","Student","1,500–2,500€","No","Never","No, but I would consider it","Louis Vuitton","5","3","4","3","3","3","4","4","5","2","5","4","3","2","2"
"2026/02/13 5:31:57 pm CET","18-24","Male","spain ","Student","<1,500€","No","Never","No and I would not consider it","Dior","3","1","1","2","2","3","2","2","1","2","2","1","2","2","2"
"2026/02/13 5:33:57 pm CET","18-24","Female","Spain","Student","I'm still a student","No","Never","No, but I would consider it","Dior","2","1","3","1","3","2","1","1","1","1","1","1","1","1","1"
"2026/02/13 5:34:02 pm CET","18-24","Female","Spain","Student","I'm still a student","No","Never","No, but I would consider it","None / I switch frequently","5","5","5","5","4","3","2","4","2","1","2","3","2","3","3"
"2026/02/13 5:34:47 pm CET","45-54","Female","Jordan","Senior professional / Management","7,000€+","Yes","Once","No, but I would consider it","Gucci","2","1","1","2","2","2","1","2","2","1","2","2","2","1","1"
"2026/02/13 5:35:16 pm CET","18-24","Female","Madrid","Student","I'm still a student","No","Never","1–2 times","Dior","3","5","4","5","3","5","2","4","4","3","2","4","3","2","3"
"2026/02/13 5:37:51 pm CET","18-24","Female","irlanda ","Student","I'm still a student","No","Never","No, but I would consider it","Dior","4","4","5","5","2","3","2","4","4","5","3","4","2","4","3"
"2026/02/13 5:39:11 pm CET","18-24","Male","Spain","Student","<1,500€","No","Never","No and I would not consider it","None / I switch frequently","3","1","1","1","4","4","5","5","1","3","3","3","3","5","5"
"2026/02/13 5:39:46 pm CET","18-24","Female","Spain","Student","I'm still a student","Yes","Once","No, but I would consider it","Louis Vuitton","5","5","5","5","2","2","3","2","4","4","2","5","4","2","4"
"2026/02/13 5:45:03 pm CET","18-24","Male","Spain","Student","I'm still a student","Yes","2–4 times","No, but I would consider it","Gucci","2","5","3","4","4","5","3","4","2","3","4","3","3","4","4"
"2026/02/13 5:45:27 pm CET","45-54","Female","Spain ","Not working","Prefer not to say","No","Never","No and I would not consider it","None / I switch frequently","1","1","1","1","1","3","1","1","1","1","1","1","1","1","1"
"2026/02/13 5:45:40 pm CET","18-24","Male","Spain ","Student","I'm still a student","Yes","Once","No, but I would consider it","None / I switch frequently","5","3","5","2","4","4","3","5","3","4","4","3","2","3","3"
"2026/02/13 5:46:22 pm CET","18-24","Female","Spain ","Student","I'm still a student","Yes","Once","No and I would not consider it","Dior","5","4","5","5","3","2","3","4","5","5","3","4","3","4","5"
"2026/02/13 5:47:49 pm CET","18-24","Female","Spain","Student","I'm still a student","Yes","Never","No, but I would consider it","Dior","4","4","4","5","3","4","5","4","3","3","1","2","1","2","3"
"2026/02/13 5:49:58 pm CET","55+","Female","Spain","Entrepreneur / Freelancer","4,001–7,000€","Yes","Once","1–2 times","Gucci","5","1","3","3","5","4","5","5","4","3","3","2","3","3","1"
"2026/02/13 5:51:06 pm CET","45-54","Female","Spain","Senior professional / Management","7,000€+","Yes","Once","No, but I would consider it","Gucci","3","1","2","2","2","2","4","3","4","4","4","4","3","4","3"
"2026/02/13 5:55:20 pm CET","18-24","Female","españa ","Student","I'm still a student","No","Never","No, but I would consider it","Dior","4","3","3","3","3","3","3","3","3","3","3","3","3","3","3"
"2026/02/13 5:56:44 pm CET","18-24","Male","Spain ","Student","I'm still a student","No","Never","No, but I would consider it","Louis Vuitton","1","1","1","1","1","1","1","1","1","1","1","1","1","1","2"
"2026/02/13 6:10:04 pm CET","18-24","Male","Uk","Junior professional","4,001–7,000€","No","Never","No and I would not consider it","Louis Vuitton","1","1","2","1","5","3","1","1","3","4","1","1","1","1","1"
"2026/02/13 6:13:56 pm CET","18-24","Female","Spain","Junior professional","1,500–2,500€","Yes","Never","No, but I would consider it","Dior","5","5","5","5","2","2","3","5","4","5","5","5","3","4","5"
"2026/02/13 6:24:31 pm CET","18-24","Female","Spain","Student","I'm still a student","Yes","Once","No, but I would consider it","Dior","3","3","5","4","4","3","5","5","2","3","5","5","4","3","4"
"2026/02/13 6:43:53 pm CET","45-54","Female","Spain","Senior professional / Management","4,001–7,000€","No","Never","No and I would not consider it","None / I switch frequently","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/02/13 6:48:55 pm CET","18-24","Female","Spain","Student","I'm still a student","Yes","Once","1–2 times","Dior","4","4","4","4","4","4","2","3","4","4","4","4","3","2","2"
"2026/02/13 6:49:22 pm CET","18-24","Female","Spain","Student","<1,500€","No","Never","No, but I would consider it","Louis Vuitton","2","1","3","3","4","3","4","4","4","4","3","4","4","4","3"
"2026/02/13 7:08:32 pm CET","18-24","Male","Spain","Student","1,500–2,500€","No","Once","No, but I would consider it","Louis Vuitton","2","1","1","3","2","3","3","3","5","5","5","4","5","4","4"
"2026/02/13 7:31:43 pm CET","45-54","Female","Spain","Senior professional / Management","2,501–4,000€","No","Never","No and I would not consider it","Louis Vuitton","2","1","1","2","4","4","4","4","5","5","5","4","1","1","3"
"2026/02/13 8:14:14 pm CET","45-54","Female","Spain","Senior professional / Management","4,001–7,000€","No","Never","No and I would not consider it","None / I switch frequently","1","1","1","1","3","3","1","1","1","1","3","1","1","1","1"
"2026/02/13 8:58:24 pm CET","18-24","Male","Spain","Junior professional","<1,500€","Yes","Once","1–2 times","None / I switch frequently","3","3","2","4","4","4","2","2","3","3","3","2","3","2","2"
"2026/02/13 9:35:01 pm CET","18-24","Female","spain","Student","I'm still a student","No","Once","1–2 times","Dior","3","4","5","5","4","5","3","5","2","2","4","5","1","5","2"
"2026/02/13 11:32:11 pm CET","45-54","Female","Spain","Entrepreneur / Freelancer","4,001–7,000€","Yes","2–4 times","No, but I would consider it","Dior","4","1","4","5","4","3","4","5","3","5","5","4","4","3","4"
"2026/02/13 11:32:16 pm CET","45-54","Male","Spain ","Senior professional / Management","4,001–7,000€","No","Never","No and I would not consider it","Louis Vuitton","1","1","1","1","1","3","3","1","3","1","1","1","1","1","1"
"2026/02/14 12:12:37 am CET","45-54","Female","Spain","Senior professional / Management","2,501–4,000€","No","Never","No and I would not consider it","None / I switch frequently","2","2","1","2","2","3","3","3","2","1","1","1","1","1","1"
"2026/02/14 1:26:41 am CET","18-24","Female","Spain ","Junior professional","1,500–2,500€","No","Never","No and I would not consider it","Louis Vuitton","3","4","4","4","3","2","4","5","3","5","3","3","1","5","4"
"2026/02/14 9:00:17 am CET","45-54","Female","Spain","Senior professional / Management","Prefer not to say","No","2–4 times","No, but I would consider it","None / I switch frequently","2","1","2","4","3","4","4","4","1","1","1","1","1","1","1"
"2026/02/14 9:17:52 am CET","45-54","Male","Spain","Senior professional / Management","4,001–7,000€","No","Never","No and I would not consider it","Dior","1","1","1","1","1","1","1","1","1","1","1","1","1","1","1"
"2026/02/14 10:28:36 am CET","45-54","Female","United Kingdom","Senior professional / Management","2,501–4,000€","No","Never","No and I would not consider it","None / I switch frequently","5","5","5","5","3","1","5","5","5","4","4","4","1","1","1"
"2026/02/14 10:28:42 am CET","45-54","Female","Spain","Senior professional / Management","7,000€+","No","Never","No and I would not consider it","None / I switch frequently","2","1","1","2","3","1","1","1","1","1","1","1","1","1","1"
"2026/02/14 10:37:45 am CET","45-54","Female","Spain","Entrepreneur / Freelancer","2,501–4,000€","No","Never","No, but I would consider it","Louis Vuitton","3","1","3","4","3","3","3","3","1","4","3","4","3","3","4"
"2026/02/14 10:44:49 am CET","45-54","Male","Spain","Senior professional / Management","7,000€+","No","Once","No, but I would consider it","Louis Vuitton","2","2","2","2","4","4","2","3","2","3","4","3","4","3","3"
"2026/02/14 11:09:20 am CET","45-54","Female","Spain","Senior professional / Management","2,501–4,000€","No","Never","No and I would not consider it","Dior","2","2","1","2","3","4","3","1","1","4","2","3","1","1","1"
"2026/02/14 11:42:15 am CET","45-54","Male","Spain","Entrepreneur / Freelancer","7,000€+","No","Once","No and I would not consider it","Gucci","1","1","2","1","1","3","3","2","1","2","1","3","1","1","1"
"2026/02/14 12:30:07 pm CET","55+","Female","Spain","Senior professional / Management","Prefer not to say","No","Never","No and I would not consider it","None / I switch frequently","1","1","1","1","1","1","1","1","1","1","2","1","1","1","1"
"2026/02/14 2:13:28 pm CET","35-44","Female","Japan","Office worker","4,001–7,000€","No","2–4 times","No, but I would consider it","None / I switch frequently","4","4","2","4","4","3","4","4","2","2","4","3","2","3","2"
"2026/02/14 4:45:18 pm CET","45-54","Female","Spain","Senior professional / Management","4,001–7,000€","No","Never","No and I would not consider it","Gucci","2","1","1","1","2","3","1","1","1","1","1","1","1","2","1"
"2026/02/14 5:37:43 pm CET","45-54","Female","Spain","Senior professional / Management","2,501–4,000€","Yes","Once","1–2 times","Dior","1","1","1","1","1","2","1","1","1","2","4","4","3","2","2"
"2026/02/14 6:14:23 pm CET","45-54","Female","Spain","Senior professional / Management","2,501–4,000€","No","Never","No, but I would consider it","Louis Vuitton","3","2","4","2","1","4","2","2","2","3","2","3","1","1","2"
"2026/02/14 6:39:44 pm CET","18-24","Female","spain","Student","I'm still a student","No","Never","No, but I would consider it","Louis Vuitton","4","3","5","5","4","4","1","3","5","5","4","4","5","3","4"
"2026/02/14 9:13:53 pm CET","55+","Female","Spain","Entrepreneur / Freelancer","Prefer not to say","No","Never","No and I would not consider it","Dior","4","4","3","4","4","4","4","4","4","4","3","4","1","3","4"
"2026/02/14 10:04:50 pm CET","45-54","Female","Spain","Senior professional / Management","2,501–4,000€","No","Never","No and I would not consider it","None / I switch frequently","1","1","1","1","3","3","1","1","1","1","4","1","1","1","1"
"2026/02/15 5:33:41 pm CET","18-24","Male","Spain","Student","I'm still a student","No","Never","No, but I would consider it","Gucci","1","2","2","1","4","5","2","3","1","5","2","4","1","5","5"
"2026/02/16 8:03:55 pm CET","45-54","Male","UAE","Entrepreneur / Freelancer","7,000€+","Yes","2–4 times","1–2 times","Dior","3","4","4","4","4","3","5","5","3","5","5","5","5","5","3"
"2026/02/16 8:07:41 pm CET","45-54","Female","UAE","Entrepreneur / Freelancer","7,000€+","Yes","2–4 times","Several times","Louis Vuitton","5","5","5","4","4","4","5","5","4","5","5","5","5","5","4"
"2026/02/16 8:09:49 pm CET","55+","Female","UK","Senior professional / Management","7,000€+","Yes","2–4 times","No, but I would consider it","Dior","5","3","5","4","4","4","5","5","4","5","5","5","5","4","4"
"2026/02/16 8:11:58 pm CET","45-54","Female","UK","Senior professional / Management","7,000€+","Yes","Once","No, but I would consider it","Gucci","5","3","5","4","4","5","5","4","4","5","4","5","4","4","3"
"2026/02/16 8:15:03 pm CET","35-44","Male","SPAIN","Entrepreneur / Freelancer","4,001–7,000€","Yes","Once","1–2 times","Louis Vuitton","4","4","3","3","4","4","5","4","3","5","5","4","4","4","4"
"2026/02/16 8:16:52 pm CET","45-54","Female","FRANCE","Entrepreneur / Freelancer","4,001–7,000€","Yes","2–4 times","1–2 times","Gucci","4","3","5","4","4","5","5","4","4","4","5","5","5","5","4"
"2026/02/16 8:18:31 pm CET","45-54","Female","UK","Entrepreneur / Freelancer","7,000€+","Yes","More than 4 times","1–2 times","Dior","5","3","5","5","5","5","5","4","4","5","5","5","5","4","4"
"2026/02/16 8:20:23 pm CET","55+","Female","SPAIN","Entrepreneur / Freelancer","7,000€+","Yes","2–4 times","1–2 times","Louis Vuitton","5","4","5","5","4","4","5","4","3","4","4","4","5","4","4"
"2026/02/16 8:22:24 pm CET","35-44","Male","UAE","Entrepreneur / Freelancer","7,000€+","Yes","More than 4 times","Several times","Gucci","5","5","5","5","4","4","5","5","4","5","5","5","5","5","5"
"2026/02/16 8:27:32 pm CET","45-54","Female","SPAIN","Senior professional / Management","4,001–7,000€","Yes","Once","No, but I would consider it","Louis Vuitton","4","3","5","4","4","3","5","4","4","5","4","4","4","4","4"
"2026/02/16 8:35:04 pm CET","45-54","Male","Spain","Senior professional / Management","7,000€+","Yes","2–4 times","No, but I would consider it","Louis Vuitton","4","2","4","4","4","3","5","4","3","4","4","4","5","3","3"
"2026/02/16 8:38:47 pm CET","25-34","Female","France","Junior professional","2,501–4,000€","Yes","Once","No, but I would consider it","Gucci","4","3","5","4","4","3","2","3","3","3","3","4","2","3","4"
"2026/02/16 8:39:29 pm CET","45-54","Female","Mexico","Entrepreneur / Freelancer","7,000€+","Yes","2–4 times","No, but I would consider it","Louis Vuitton","5","4","5","5","4","4","5","4","4","4","5","4","5","3","3"
"2026/02/16 8:42:23 pm CET","18-24","Female","Jordan","Junior professional","2,501–4,000€","Yes","Once","No, but I would consider it","Gucci","5","4","5","5","4","4","5","4","3","4","4","4","4","4","4"
"2026/02/16 8:45:44 pm CET","18-24","Female","Spain","Junior professional","1,500–2,500€","Yes","Once","No, but I would consider it","Louis Vuitton","4","5","5","5","3","3","5","4","3","4","3","5","4","3","3"
"2026/02/16 8:50:46 pm CET","35-44","Female","Spain","Senior professional / Management","4,001–7,000€","Yes","2–4 times","No, but I would consider it","None / I switch frequently","4","3","4","3","4","3","4","3","1","4","3","4","3","3","3"
"2026/02/16 8:50:58 pm CET","35-44","Male","UK","Senior professional / Management","7,000€+","Yes","2–4 times","No, but I would consider it","Louis Vuitton","3","2","1","2","4","3","3","3","4","4","4","5","4","3","2"
